Run,Assay Type,atcc_catalog_number,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,genotype,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study
SRR18298651,RNA-Seq,47054,75,825523875,PRJNA796354,SAMN26574080,299161332,"SYSTEMS BIOLOGY RESEARCH GROUP, BIOENGINEERING, UNIVERSITY OF CALIFORNIA, SAN DIEGO",public,"fastq,sra,run.zq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX14436224,KT2440 GB062,NextSeq 500,GSM5946207,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas putida KT2440,ILLUMINA,2022-04-28T00:00:00Z,2022-03-12T04:29:00Z,1,GSM5946207,ATCC 47054,SRP354566
SRR18298652,RNA-Seq,47054,75,819699900,PRJNA796354,SAMN26574081,295896108,"SYSTEMS BIOLOGY RESEARCH GROUP, BIOENGINEERING, UNIVERSITY OF CALIFORNIA, SAN DIEGO",public,"run.zq,fastq,sra","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX14436223,KT2440 GB062,NextSeq 500,GSM5946206,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas putida KT2440,ILLUMINA,2022-04-28T00:00:00Z,2022-03-12T04:30:00Z,1,GSM5946206,ATCC 47054,SRP354566
SRR18298653,RNA-Seq,47054,75,883045950,PRJNA796354,SAMN26574082,319857076,"SYSTEMS BIOLOGY RESEARCH GROUP, BIOENGINEERING, UNIVERSITY OF CALIFORNIA, SAN DIEGO",public,"sra,fastq,run.zq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX14436222,KT2440 GB062,NextSeq 500,GSM5946205,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas putida KT2440,ILLUMINA,2022-04-28T00:00:00Z,2022-03-12T04:29:00Z,1,GSM5946205,ATCC 47054,SRP354566
SRR18298654,RNA-Seq,47054,75,763230600,PRJNA796354,SAMN26574083,276621782,"SYSTEMS BIOLOGY RESEARCH GROUP, BIOENGINEERING, UNIVERSITY OF CALIFORNIA, SAN DIEGO",public,"fastq,sra,run.zq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX14436221,KT2440 GB062,NextSeq 500,GSM5946204,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas putida KT2440,ILLUMINA,2022-04-28T00:00:00Z,2022-03-12T04:28:00Z,1,GSM5946204,ATCC 47054,SRP354566
SRR18298655,RNA-Seq,47054,75,859915050,PRJNA796354,SAMN26574084,311237007,"SYSTEMS BIOLOGY RESEARCH GROUP, BIOENGINEERING, UNIVERSITY OF CALIFORNIA, SAN DIEGO",public,"fastq,sra,run.zq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX14436220,KT2440 GB062,NextSeq 500,GSM5946203,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas putida KT2440,ILLUMINA,2022-04-28T00:00:00Z,2022-03-12T04:30:00Z,1,GSM5946203,ATCC 47054,SRP354566
SRR18298656,RNA-Seq,47054,75,716689500,PRJNA796354,SAMN26574117,260250982,"SYSTEMS BIOLOGY RESEARCH GROUP, BIOENGINEERING, UNIVERSITY OF CALIFORNIA, SAN DIEGO",public,"run.zq,fastq,sra","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX14436219,KT2440 GB032,NextSeq 500,GSM5946170,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas putida KT2440,ILLUMINA,2022-04-28T00:00:00Z,2022-03-12T04:28:00Z,1,GSM5946170,ATCC 47054,SRP354566
SRR18298657,RNA-Seq,47054,75,688715175,PRJNA796354,SAMN26574118,249486839,"SYSTEMS BIOLOGY RESEARCH GROUP, BIOENGINEERING, UNIVERSITY OF CALIFORNIA, SAN DIEGO",public,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX14436218,KT2440 GB032,NextSeq 500,GSM5946169,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas putida KT2440,ILLUMINA,2022-04-28T00:00:00Z,2022-03-12T04:28:00Z,1,GSM5946169,ATCC 47054,SRP354566
SRR18298658,RNA-Seq,47054,75,661460175,PRJNA796354,SAMN26574119,240440008,"SYSTEMS BIOLOGY RESEARCH GROUP, BIOENGINEERING, UNIVERSITY OF CALIFORNIA, SAN DIEGO",public,"sra,run.zq,fastq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX14436217,KT2440 GB032,NextSeq 500,GSM5946168,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas putida KT2440,ILLUMINA,2022-04-28T00:00:00Z,2022-03-12T04:28:00Z,1,GSM5946168,ATCC 47054,SRP354566
SRR18298659,RNA-Seq,47054,75,638211450,PRJNA796354,SAMN26574120,231935711,"SYSTEMS BIOLOGY RESEARCH GROUP, BIOENGINEERING, UNIVERSITY OF CALIFORNIA, SAN DIEGO",public,"sra,run.zq,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX14436216,KT2440 GB032,NextSeq 500,GSM5946167,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas putida KT2440,ILLUMINA,2022-04-28T00:00:00Z,2022-03-11T20:07:00Z,1,GSM5946167,ATCC 47054,SRP354566
SRR18298660,RNA-Seq,47054,75,800189475,PRJNA796354,SAMN26574121,289683308,"SYSTEMS BIOLOGY RESEARCH GROUP, BIOENGINEERING, UNIVERSITY OF CALIFORNIA, SAN DIEGO",public,"fastq,sra,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX14436215,KT2440 GB032,NextSeq 500,GSM5946166,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas putida KT2440,ILLUMINA,2022-04-28T00:00:00Z,2022-03-12T04:28:00Z,1,GSM5946166,ATCC 47054,SRP354566
SRR18298661,RNA-Seq,47054,75,1072902150,PRJNA796354,SAMN26574122,391324132,"SYSTEMS BIOLOGY RESEARCH GROUP, BIOENGINEERING, UNIVERSITY OF CALIFORNIA, SAN DIEGO",public,"run.zq,sra,fastq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX14436214,KT2440 GB032,NextSeq 500,GSM5946165,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas putida KT2440,ILLUMINA,2022-04-28T00:00:00Z,2022-03-11T20:10:00Z,1,GSM5946165,ATCC 47054,SRP354566
SRR18298662,RNA-Seq,47054,75,740231625,PRJNA796354,SAMN26574123,268239740,"SYSTEMS BIOLOGY RESEARCH GROUP, BIOENGINEERING, UNIVERSITY OF CALIFORNIA, SAN DIEGO",public,"sra,run.zq,fastq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX14436213,KT2440 GB032,NextSeq 500,GSM5946164,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas putida KT2440,ILLUMINA,2022-04-28T00:00:00Z,2022-03-12T04:30:00Z,1,GSM5946164,ATCC 47054,SRP354566
SRR18298663,RNA-Seq,47054,75,671062800,PRJNA796354,SAMN26574124,245325189,"SYSTEMS BIOLOGY RESEARCH GROUP, BIOENGINEERING, UNIVERSITY OF CALIFORNIA, SAN DIEGO",public,"run.zq,sra,fastq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX14436212,KT2440 GB032,NextSeq 500,GSM5946163,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas putida KT2440,ILLUMINA,2022-04-28T00:00:00Z,2022-03-12T04:28:00Z,1,GSM5946163,ATCC 47054,SRP354566
SRR18298664,RNA-Seq,47054,75,716458500,PRJNA796354,SAMN26574061,257000164,"SYSTEMS BIOLOGY RESEARCH GROUP, BIOENGINEERING, UNIVERSITY OF CALIFORNIA, SAN DIEGO",public,"run.zq,fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX14436211,KT2440 wildtype,NextSeq 500,GSM5946226,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas putida KT2440,ILLUMINA,2022-04-28T00:00:00Z,2022-03-12T04:28:00Z,1,GSM5946226,ATCC 47054,SRP354566
SRR18298665,RNA-Seq,47054,75,405315975,PRJNA796354,SAMN26574062,145181337,"SYSTEMS BIOLOGY RESEARCH GROUP, BIOENGINEERING, UNIVERSITY OF CALIFORNIA, SAN DIEGO",public,"run.zq,fastq,sra","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX14436210,KT2440 wildtype,NextSeq 500,GSM5946225,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas putida KT2440,ILLUMINA,2022-04-28T00:00:00Z,2022-03-11T20:06:00Z,1,GSM5946225,ATCC 47054,SRP354566
SRR18298666,RNA-Seq,47054,75,334095000,PRJNA796354,SAMN26574063,120291214,"SYSTEMS BIOLOGY RESEARCH GROUP, BIOENGINEERING, UNIVERSITY OF CALIFORNIA, SAN DIEGO",public,"sra,fastq,run.zq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX14436209,KT2440 wildtype,NextSeq 500,GSM5946224,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas putida KT2440,ILLUMINA,2022-04-28T00:00:00Z,2022-03-11T20:06:00Z,1,GSM5946224,ATCC 47054,SRP354566
SRR18298667,RNA-Seq,47054,75,603682650,PRJNA796354,SAMN26574064,215085135,"SYSTEMS BIOLOGY RESEARCH GROUP, BIOENGINEERING, UNIVERSITY OF CALIFORNIA, SAN DIEGO",public,"sra,run.zq,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX14436208,KT2440 wildtype,NextSeq 500,GSM5946223,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas putida KT2440,ILLUMINA,2022-04-28T00:00:00Z,2022-03-12T04:28:00Z,1,GSM5946223,ATCC 47054,SRP354566
SRR18298668,RNA-Seq,47054,75,905492175,PRJNA796354,SAMN26574065,320917046,"SYSTEMS BIOLOGY RESEARCH GROUP, BIOENGINEERING, UNIVERSITY OF CALIFORNIA, SAN DIEGO",public,"run.zq,sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX14436207,KT2440 wildtype,NextSeq 500,GSM5946222,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas putida KT2440,ILLUMINA,2022-04-28T00:00:00Z,2022-03-11T20:10:00Z,1,GSM5946222,ATCC 47054,SRP354566
SRR18298669,RNA-Seq,47054,75,624399825,PRJNA796354,SAMN26574066,223220495,"SYSTEMS BIOLOGY RESEARCH GROUP, BIOENGINEERING, UNIVERSITY OF CALIFORNIA, SAN DIEGO",public,"run.zq,fastq,sra","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX14436206,KT2440 wildtype,NextSeq 500,GSM5946221,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas putida KT2440,ILLUMINA,2022-04-28T00:00:00Z,2022-03-11T20:07:00Z,1,GSM5946221,ATCC 47054,SRP354566
SRR18298670,RNA-Seq,47054,75,834779100,PRJNA796354,SAMN26574067,297856761,"SYSTEMS BIOLOGY RESEARCH GROUP, BIOENGINEERING, UNIVERSITY OF CALIFORNIA, SAN DIEGO",public,"run.zq,fastq,sra","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX14436205,KT2440 wildtype,NextSeq 500,GSM5946220,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas putida KT2440,ILLUMINA,2022-04-28T00:00:00Z,2022-03-11T20:08:00Z,1,GSM5946220,ATCC 47054,SRP354566
SRR18298671,RNA-Seq,47054,75,419905950,PRJNA796354,SAMN26574068,149681405,"SYSTEMS BIOLOGY RESEARCH GROUP, BIOENGINEERING, UNIVERSITY OF CALIFORNIA, SAN DIEGO",public,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX14436204,KT2440 wildtype,NextSeq 500,GSM5946219,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas putida KT2440,ILLUMINA,2022-04-28T00:00:00Z,2022-03-11T20:06:00Z,1,GSM5946219,ATCC 47054,SRP354566
SRR18298672,RNA-Seq,47054,75,737785875,PRJNA796354,SAMN26574085,260811491,"SYSTEMS BIOLOGY RESEARCH GROUP, BIOENGINEERING, UNIVERSITY OF CALIFORNIA, SAN DIEGO",public,"sra,fastq,run.zq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX14436203,KT2440 GB062,NextSeq 500,GSM5946202,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas putida KT2440,ILLUMINA,2022-04-28T00:00:00Z,2022-03-12T04:29:00Z,1,GSM5946202,ATCC 47054,SRP354566
SRR18298673,RNA-Seq,47054,75,592731075,PRJNA796354,SAMN26574086,208930194,"SYSTEMS BIOLOGY RESEARCH GROUP, BIOENGINEERING, UNIVERSITY OF CALIFORNIA, SAN DIEGO",public,"fastq,run.zq,sra","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX14436202,KT2440 GB062,NextSeq 500,GSM5946201,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas putida KT2440,ILLUMINA,2022-04-28T00:00:00Z,2022-03-11T20:06:00Z,1,GSM5946201,ATCC 47054,SRP354566
SRR18298674,RNA-Seq,47054,75,991246650,PRJNA796354,SAMN26574087,352233723,"SYSTEMS BIOLOGY RESEARCH GROUP, BIOENGINEERING, UNIVERSITY OF CALIFORNIA, SAN DIEGO",public,"fastq,run.zq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX14436201,KT2440 GB062,NextSeq 500,GSM5946200,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas putida KT2440,ILLUMINA,2022-04-28T00:00:00Z,2022-03-12T05:03:00Z,1,GSM5946200,ATCC 47054,SRP354566
SRR18298675,RNA-Seq,47054,75,907582575,PRJNA796354,SAMN26574088,321284249,"SYSTEMS BIOLOGY RESEARCH GROUP, BIOENGINEERING, UNIVERSITY OF CALIFORNIA, SAN DIEGO",public,"sra,run.zq,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX14436200,KT2440 GB062,NextSeq 500,GSM5946199,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas putida KT2440,ILLUMINA,2022-04-28T00:00:00Z,2022-03-12T04:41:00Z,1,GSM5946199,ATCC 47054,SRP354566
SRR18298676,RNA-Seq,47054,75,660347100,PRJNA796354,SAMN26574089,232407819,"SYSTEMS BIOLOGY RESEARCH GROUP, BIOENGINEERING, UNIVERSITY OF CALIFORNIA, SAN DIEGO",public,"fastq,sra,run.zq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX14436199,KT2440 GB062,NextSeq 500,GSM5946198,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas putida KT2440,ILLUMINA,2022-04-28T00:00:00Z,2022-03-11T20:07:00Z,1,GSM5946198,ATCC 47054,SRP354566
SRR18298677,RNA-Seq,47054,75,776977200,PRJNA796354,SAMN26574090,273389217,"SYSTEMS BIOLOGY RESEARCH GROUP, BIOENGINEERING, UNIVERSITY OF CALIFORNIA, SAN DIEGO",public,"run.zq,sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX14436198,KT2440 GB062,NextSeq 500,GSM5946197,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas putida KT2440,ILLUMINA,2022-04-28T00:00:00Z,2022-03-12T04:42:00Z,1,GSM5946197,ATCC 47054,SRP354566
SRR18298678,RNA-Seq,47054,75,969597450,PRJNA796354,SAMN26574091,353626966,"SYSTEMS BIOLOGY RESEARCH GROUP, BIOENGINEERING, UNIVERSITY OF CALIFORNIA, SAN DIEGO",public,"run.zq,sra,fastq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX14436197,KT2440 GB045,NextSeq 500,GSM5946196,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas putida KT2440,ILLUMINA,2022-04-28T00:00:00Z,2022-03-12T05:04:00Z,1,GSM5946196,ATCC 47054,SRP354566
SRR18298679,RNA-Seq,47054,75,834915075,PRJNA796354,SAMN26574092,304269797,"SYSTEMS BIOLOGY RESEARCH GROUP, BIOENGINEERING, UNIVERSITY OF CALIFORNIA, SAN DIEGO",public,"run.zq,fastq,sra","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX14436196,KT2440 GB045,NextSeq 500,GSM5946195,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas putida KT2440,ILLUMINA,2022-04-28T00:00:00Z,2022-03-12T04:41:00Z,1,GSM5946195,ATCC 47054,SRP354566
SRR18298680,RNA-Seq,47054,75,849561975,PRJNA796354,SAMN26574101,311450390,"SYSTEMS BIOLOGY RESEARCH GROUP, BIOENGINEERING, UNIVERSITY OF CALIFORNIA, SAN DIEGO",public,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX14436195,KT2440 GB045,NextSeq 500,GSM5946186,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas putida KT2440,ILLUMINA,2022-04-28T00:00:00Z,2022-03-12T04:42:00Z,1,GSM5946186,ATCC 47054,SRP354566
SRR18298681,RNA-Seq,47054,75,773568150,PRJNA796354,SAMN26574102,282766416,"SYSTEMS BIOLOGY RESEARCH GROUP, BIOENGINEERING, UNIVERSITY OF CALIFORNIA, SAN DIEGO",public,"sra,fastq,run.zq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX14436194,KT2440 GB045,NextSeq 500,GSM5946185,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas putida KT2440,ILLUMINA,2022-04-28T00:00:00Z,2022-03-12T04:42:00Z,1,GSM5946185,ATCC 47054,SRP354566
SRR18298682,RNA-Seq,47054,75,534405675,PRJNA796354,SAMN26574103,194102309,"SYSTEMS BIOLOGY RESEARCH GROUP, BIOENGINEERING, UNIVERSITY OF CALIFORNIA, SAN DIEGO",public,"run.zq,sra,fastq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX14436193,KT2440 GB045,NextSeq 500,GSM5946184,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas putida KT2440,ILLUMINA,2022-04-28T00:00:00Z,2022-03-12T04:27:00Z,1,GSM5946184,ATCC 47054,SRP354566
SRR18298683,RNA-Seq,47054,75,443328825,PRJNA796354,SAMN26574104,162521767,"SYSTEMS BIOLOGY RESEARCH GROUP, BIOENGINEERING, UNIVERSITY OF CALIFORNIA, SAN DIEGO",public,"run.zq,fastq,sra","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX14436192,KT2440 GB045,NextSeq 500,GSM5946183,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas putida KT2440,ILLUMINA,2022-04-28T00:00:00Z,2022-03-12T04:31:00Z,1,GSM5946183,ATCC 47054,SRP354566
SRR18298684,RNA-Seq,47054,75,722669550,PRJNA796354,SAMN26574105,264931880,"SYSTEMS BIOLOGY RESEARCH GROUP, BIOENGINEERING, UNIVERSITY OF CALIFORNIA, SAN DIEGO",public,"sra,run.zq,fastq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX14436191,KT2440 GB045,NextSeq 500,GSM5946182,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas putida KT2440,ILLUMINA,2022-04-28T00:00:00Z,2022-03-12T04:57:00Z,1,GSM5946182,ATCC 47054,SRP354566
SRR18298685,RNA-Seq,47054,75,706253550,PRJNA796354,SAMN26574106,256389851,"SYSTEMS BIOLOGY RESEARCH GROUP, BIOENGINEERING, UNIVERSITY OF CALIFORNIA, SAN DIEGO",public,"run.zq,fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX14436190,KT2440 GB045,NextSeq 500,GSM5946181,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas putida KT2440,ILLUMINA,2022-04-28T00:00:00Z,2022-03-12T04:40:00Z,1,GSM5946181,ATCC 47054,SRP354566
SRR18298686,RNA-Seq,47054,75,601379250,PRJNA796354,SAMN26574107,221439929,"SYSTEMS BIOLOGY RESEARCH GROUP, BIOENGINEERING, UNIVERSITY OF CALIFORNIA, SAN DIEGO",public,"fastq,sra,run.zq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX14436189,KT2440 GB045,NextSeq 500,GSM5946180,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas putida KT2440,ILLUMINA,2022-04-28T00:00:00Z,2022-03-12T04:39:00Z,1,GSM5946180,ATCC 47054,SRP354566
