feature_gene	class_gene	start	end	strand	symbol	locus_tag	feature_interval_length	attributes_gene	feature_product	class_product	product_accession_product	non-redundant_refseq_product	name_product	product_length_product	attributes_product	old_locus_tag
gene	protein_coding	132578	133210	+	dsbA	PP_RS00650	633	old_locus_tag	CDS	with_protein	WP_010951523.1	WP_010951523.1	thiol:disulfide interchange protein DsbA	210.0		PP_0127
gene	protein_coding	133223	134077	+		PP_RS00655	855	old_locus_tag	CDS	with_protein	WP_003252985.1	WP_003252985.1	endonuclease/exonuclease/phosphatase family protein	284.0		PP_0128
gene	protein_coding	134105	136042	+		PP_RS00660	1938	old_locus_tag	CDS	with_protein	WP_010951524.1	WP_010951524.1	diguanylate cyclase	645.0		PP_0129
gene	protein_coding	136116	136904	+		PP_RS00665	789	old_locus_tag	CDS	with_protein	WP_010951525.1	WP_010951525.1	N-acetylmuramoyl-L-alanine amidase	262.0		PP_0130
gene	protein_coding	137109	138707	+		PP_RS00670	1599	old_locus_tag	CDS	with_protein	WP_019437393.1	WP_019437393.1	EAL domain-containing protein	532.0		PP_0131
gene	protein_coding	138722	140503	-		PP_RS00675	1782	old_locus_tag	CDS	with_protein	WP_010951527.1	WP_010951527.1	KinB sensor domain-containing domain	593.0		PP_0132
gene	protein_coding	140500	141846	-	algB	PP_RS00680	1347	old_locus_tag	CDS	with_protein	WP_010951528.1	WP_010951528.1	sigma-54-dependent response regulator transcription factor AlgB	448.0		PP_0133
gene	protein_coding	142057	142878	+		PP_RS00685	822	old_locus_tag	CDS	with_protein	WP_010951529.1	WP_010951529.1	BON domain-containing protein	273.0		PP_0134
gene	protein_coding	143053	143343	+		PP_RS00690	291	old_locus_tag	CDS	with_protein	WP_049588414.1	WP_049588414.1	hypothetical protein	96.0		PP_5428
gene	protein_coding	143387	143548	+		PP_RS00695	162	old_locus_tag	CDS	with_protein	WP_003252966.1	WP_003252966.1	DUF1328 domain-containing protein	53.0		PP_0135
gene	protein_coding	143551	144021	+		PP_RS00700	471	old_locus_tag	CDS	with_protein	WP_010951530.1	WP_010951530.1	inhibitor of vertebrate lysozyme family protein	156.0		PP_0136
gene	protein_coding	144767	146095	+	gltP	PP_RS00705	1329	old_locus_tag	CDS	with_protein	WP_010951531.1	WP_010951531.1	glutamate/aspartate:proton symporter GltP	442.0		PP_0137
gene	protein_coding	146243	147472	+		PP_RS00710	1230	old_locus_tag	CDS	with_protein	WP_010951532.1	WP_010951532.1	spore maturation protein	409.0		PP_0138
gene	protein_coding	147454	148089	-		PP_RS00715	636	old_locus_tag	CDS	with_protein	WP_010951533.1	WP_010951533.1	ABC-type transport auxiliary lipoprotein family protein	211.0		PP_0139
gene	protein_coding	148086	149024	-		PP_RS00720	939	old_locus_tag	CDS	with_protein	WP_010951534.1	WP_010951534.1	MlaD family protein	312.0		PP_0140
gene	protein_coding	149028	149819	-		PP_RS00725	792	old_locus_tag	CDS	with_protein	WP_010951535.1	WP_010951535.1	ATP-binding cassette domain-containing protein	263.0		PP_0141
gene	protein_coding	149816	150949	-		PP_RS00730	1134	old_locus_tag	CDS	with_protein	WP_010951536.1	WP_010951536.1	MlaE family lipid ABC transporter permease subunit	377.0		PP_0142
gene	protein_coding	151081	152106	-		PP_RS00735	1026	old_locus_tag	CDS	with_protein	WP_010951537.1	WP_010951537.1	DUF5924 family protein	341.0		PP_0143
gene	protein_coding	152200	153606	-		PP_RS00740	1407	old_locus_tag	CDS	with_protein	WP_010951538.1	WP_010951538.1	pitrilysin family protein	468.0		PP_0144
gene	protein_coding	153637	155295	-		PP_RS00745	1659	old_locus_tag	CDS	with_protein	WP_010951539.1	WP_010951539.1	Na/Pi cotransporter family protein	552.0		PP_0145
gene	protein_coding	155578	156348	-		PP_RS00750	771	old_locus_tag	CDS	with_protein	WP_049588412.1	WP_049588412.1	TerC family protein	256.0		PP_0146
gene	protein_coding	156418	157725	-		PP_RS00755	1308	old_locus_tag	CDS	with_protein	WP_010951541.1	WP_010951541.1	CitMHS family transporter	435.0		PP_0147
gene	protein_coding	157993	158394	+		PP_RS00760	402	old_locus_tag	CDS	with_protein	WP_049588409.1	WP_049588409.1	GFA family protein	133.0		PP_0148
gene	protein_coding	158433	160388	-		PP_RS00765	1956	old_locus_tag	CDS	with_protein	WP_010951543.1	WP_010951543.1	DUF4105 domain-containing protein	651.0		PP_0149
gene	protein_coding	160385	160705	-		PP_RS00770	321	old_locus_tag	CDS	with_protein	WP_003252932.1	WP_003252932.1	DUF2388 domain-containing protein	106.0		PP_0150
gene	protein_coding	160742	161035	-		PP_RS00775	294	old_locus_tag	CDS	with_protein	WP_010951544.1	WP_010951544.1	DUF2388 domain-containing protein	97.0		PP_0151
gene	protein_coding	161125	161442	-		PP_RS00780	318	old_locus_tag	CDS	with_protein	WP_014589278.1	WP_014589278.1	DUF2388 domain-containing protein	105.0		PP_0152
gene	protein_coding	161751	161966	-		PP_RS00785	216	old_locus_tag	CDS	with_protein	WP_003252924.1	WP_003252924.1	DUF1127 domain-containing protein	71.0		PP_0153
gene	protein_coding	162340	163833	-		PP_RS00790	1494	old_locus_tag	CDS	with_protein	WP_003252922.1	WP_003252922.1	acetyl-CoA hydrolase/transferase family protein	497.0		PP_0154
